sample_id,cbr_id,test_area,test_id,CBR_id,rep,depth_from_surface,rsp_index
STA1_test1_CBR2_r1,STA1_test1_CBR2,STA1,Test 1,CBR2,r1,375,9
STA1_test1_CBR2_r1,STA1_test1_CBR2,STA1,Test 1,CBR2,r1,400,38
STA1_test1_CBR3_r1,STA1_test1_CBR3,STA1,Test 1,CBR3,r1,100,12
STA1_test1_CBR3_r1,STA1_test1_CBR3,STA1,Test 1,CBR3,r1,150,21
STA1_test1_CBR3_r1,STA1_test1_CBR3,STA1,Test 1,CBR3,r1,175,38
STA1_test1_CBR3_r1,STA1_test1_CBR3,STA1,Test 1,CBR3,r1,375,8
STA1_test1_CBR3_r1,STA1_test1_CBR3,STA1,Test 1,CBR3,r1,400,38
STA1_test1_CBR3_r2,STA1_test1_CBR3,STA1,Test 1,CBR3,r2,100,15
STA1_test1_CBR3_r2,STA1_test1_CBR3,STA1,Test 1,CBR3,r2,150,21
STA1_test1_CBR3_r2,STA1_test1_CBR3,STA1,Test 1,CBR3,r2,300,9
STA1_test1_CBR3_r2,STA1_test1_CBR3,STA1,Test 1,CBR3,r2,350,21
STA1_test1_CBR3_r2,STA1_test1_CBR3,STA1,Test 1,CBR3,r2,400,21
STA1_test1_CBR3_r3,STA1_test1_CBR3,STA1,Test 1,CBR3,r3,75,21
STA1_test1_CBR3_r3,STA1_test1_CBR3,STA1,Test 1,CBR3,r3,125,21
STA1_test1_CBR3_r3,STA1_test1_CBR3,STA1,Test 1,CBR3,r3,225,12
STA1_test1_CBR3_r3,STA1_test1_CBR3,STA1,Test 1,CBR3,r3,375,15
STA1_test1_CBR3_r3,STA1_test1_CBR3,STA1,Test 1,CBR3,r3,400,38
STA1_test1_CBR4_r1,STA1_test1_CBR4,STA1,Test 1,CBR4,r1,75,21
STA1_test1_CBR4_r1,STA1_test1_CBR4,STA1,Test 1,CBR4,r1,125,21
STA1_test1_CBR4_r1,STA1_test1_CBR4,STA1,Test 1,CBR4,r1,150,38
STA1_test1_CBR4_r1,STA1_test1_CBR4,STA1,Test 1,CBR4,r1,250,12
STA1_test1_CBR4_r1,STA1_test1_CBR4,STA1,Test 1,CBR4,r1,375,10
STA1_test1_CBR4_r1,STA1_test1_CBR4,STA1,Test 1,CBR4,r1,400,38
STA1_test1_CBR4_r2,STA1_test1_CBR4,STA1,Test 1,CBR4,r2,100,15
STA1_test1_CBR4_r2,STA1_test1_CBR4,STA1,Test 1,CBR4,r2,200,12
STA1_test1_CBR4_r2,STA1_test1_CBR4,STA1,Test 1,CBR4,r2,250,21
STA1_test1_CBR4_r2,STA1_test1_CBR4,STA1,Test 1,CBR4,r2,325,15
STA1_test1_CBR4_r2,STA1_test1_CBR4,STA1,Test 1,CBR4,r2,375,21
STA1_test1_CBR4_r2,STA1_test1_CBR4,STA1,Test 1,CBR4,r2,400,38
STA1_test1_CBR4_r3,STA1_test1_CBR4,STA1,Test 1,CBR4,r3,75,21
STA1_test1_CBR4_r3,STA1_test1_CBR4,STA1,Test 1,CBR4,r3,150,15
STA1_test1_CBR4_r3,STA1_test1_CBR4,STA1,Test 1,CBR4,r3,200,21
STA1_test1_CBR4_r3,STA1_test1_CBR4,STA1,Test 1,CBR4,r3,225,38
STA1_test1_CBR4_r3,STA1_test1_CBR4,STA1,Test 1,CBR4,r3,300,15
STA1_test1_CBR4_r3,STA1_test1_CBR4,STA1,Test 1,CBR4,r3,350,21
STA1_test1_CBR4_r3,STA1_test1_CBR4,STA1,Test 1,CBR4,r3,375,38
STA1_test1_CBR4_r3,STA1_test1_CBR4,STA1,Test 1,CBR4,r3,400,38
STA1_test1_CBR5_r1,STA1_test1_CBR5,STA1,Test 1,CBR5,r1,75,21
STA1_test1_CBR5_r1,STA1_test1_CBR5,STA1,Test 1,CBR5,r1,175,12
STA1_test1_CBR5_r1,STA1_test1_CBR5,STA1,Test 1,CBR5,r1,225,21
STA1_test1_CBR5_r1,STA1_test1_CBR5,STA1,Test 1,CBR5,r1,300,15
STA1_test1_CBR5_r1,STA1_test1_CBR5,STA1,Test 1,CBR5,r1,400,12
STA1_test1_CBR5_r2,STA1_test1_CBR5,STA1,Test 1,CBR5,r2,150,10
STA1_test1_CBR5_r2,STA1_test1_CBR5,STA1,Test 1,CBR5,r2,200,21
STA1_test1_CBR5_r2,STA1_test1_CBR5,STA1,Test 1,CBR5,r2,225,38
STA1_test1_CBR5_r2,STA1_test1_CBR5,STA1,Test 1,CBR5,r2,300,15
STA1_test1_CBR5_r2,STA1_test1_CBR5,STA1,Test 1,CBR5,r2,350,21
STA1_test1_CBR5_r2,STA1_test1_CBR5,STA1,Test 1,CBR5,r2,400,21
STA1_test1_CBR5_r3,STA1_test1_CBR5,STA1,Test 1,CBR5,r3,75,21
STA1_test1_CBR5_r3,STA1_test1_CBR5,STA1,Test 1,CBR5,r3,100,38
STA1_test1_CBR5_r3,STA1_test1_CBR5,STA1,Test 1,CBR5,r3,125,73
STA1_test1_CBR5_r3,STA1_test1_CBR5,STA1,Test 1,CBR5,r3,150,73
STA1_test1_CBR5_r3,STA1_test1_CBR5,STA1,Test 1,CBR5,r3,175,38
STA1_test1_CBR5_r3,STA1_test1_CBR5,STA1,Test 1,CBR5,r3,200,38
STA1_test1_CBR5_r3,STA1_test1_CBR5,STA1,Test 1,CBR5,r3,225,38
STA1_test1_CBR5_r3,STA1_test1_CBR5,STA1,Test 1,CBR5,r3,275,21
STA1_test1_CBR5_r3,STA1_test1_CBR5,STA1,Test 1,CBR5,r3,300,38
STA1_test1_CBR5_r3,STA1_test1_CBR5,STA1,Test 1,CBR5,r3,350,21
STA1_test1_CBR5_r3,STA1_test1_CBR5,STA1,Test 1,CBR5,r3,400,21
STA2_test1_CBR1_r1,STA2_test1_CBR1,STA2,Test 1,CBR1,r1,100,21
